country,year,sum_value,cum_value
Australia,1950,30490.25,30490.25
Australia,1951,35026.25,65516.5
Australia,1952,44351.5,109868
Australia,1953,50612.25,160480.25
Australia,1954,51164.5,211644.75
Australia,1955,49577.25,261222
Australia,1956,48416,309638
Australia,1957,52865.5,362503.5
Australia,1958,52517.5,415021
Australia,1959,54798.5,469819.5
Australia,1960,57455.5,527275
Australia,1961,57216.75,584491.75
Australia,1962,62657.25,647149
Australia,1963,67820.5,714969.5
Australia,1964,68243.5,783213
Australia,1965,77946,861159
Australia,1966,89515.5,950674.5
Australia,1967,93046.25,1043720.75
Australia,1968,103496.75,1147217.5
Australia,1969,91760,1238977.5
Australia,1970,98007.75,1336985.25
Australia,1971,107041.25,1444026.5
Australia,1972,117262,1561288.5
Australia,1973,120473,1681761.5
Australia,1974,134082.75,1815844.25
Australia,1975,105373,1921217.25
Australia,1976,105573,2026790.25
Australia,1977,137195.75,2163986
Australia,1978,131282.75,2295268.75
Australia,1979,137913,2433181.75
Australia,1980,136873.25,2570055
Australia,1981,153148.5,2723203.5
Australia,1982,171926.25,2895129.75
Australia,1983,169112.25,3064242
Australia,1984,177014.25,3241256.25
Australia,1985,162845.25,3404101.5
Australia,1986,183734.25,3587835.75
Australia,1987,212829.25,3800665
Australia,1988,221970.25,4022635.25
Australia,1989,200209,4222844.25
Australia,1990,237509.75,4460354
Australia,1991,247661.25,4708015.25
Australia,1992,256431.5,4964446.75
Australia,1993,259835,5224281.75
Australia,1994,228167,5452448.75
Australia,1995,238141.25,5690590
Australia,1996,230719.5,5921309.5
Australia,1997,229467.25,6150776.75
Australia,1998,238276.44,6389053.19
Australia,1999,244469.75,6633522.94
Australia,2000,219715.75,6853238.69
Australia,2001,217110.5,7070349.19
Australia,2002,217975.25,7288324.44
Australia,2003,240094.73,7528419.17
Australia,2004,255841.05,7784260.22
Australia,2005,273840.28,8058100.5
Australia,2006,229136,8287236.5
Australia,2007,211885.06,8499121.56
Australia,2008,212321.7,8711443.26
Australia,2009,200071.99,8911515.25
Australia,2010,218666.05,9130181.3
Australia,2011,216728.09,9346909.39
Australia,2012,215892.8,9562802.19
Australia,2013,200909.24,9763711.43
Australia,2014,197482.95,9961194.38
Australia,2015,201965.72,10163160.1
Australia,2016,218369.13,10381529.23
Australia,2017,229605.44,10611134.67
